"","wy","pol","n"
"1",1981,"no3",533
"2",1981,"srp",526
"3",1981,"tp",532
"4",1981,"tss",531
"5",1982,"no3",529
"6",1982,"srp",519
"7",1982,"tp",536
"8",1982,"tss",537
"9",1983,"no3",511
"10",1983,"srp",503
"11",1983,"tp",511
"12",1983,"tss",511
"13",1984,"no3",472
"14",1984,"srp",472
"15",1984,"tp",472
"16",1984,"tss",472
"17",1985,"no3",481
"18",1985,"srp",478
"19",1985,"tp",481
"20",1985,"tss",480
"21",1986,"no3",501
"22",1986,"srp",496
"23",1986,"tp",501
"24",1986,"tss",498
"25",1987,"no3",446
"26",1987,"srp",446
"27",1987,"tp",437
"28",1987,"tss",444
"29",1988,"no3",411
"30",1988,"srp",411
"31",1988,"tp",411
"32",1988,"tss",409
"33",1989,"no3",450
"34",1989,"srp",449
"35",1989,"tp",440
"36",1989,"tss",444
"37",1990,"no3",496
"38",1990,"srp",496
"39",1990,"tp",495
"40",1990,"tss",496
"41",1991,"no3",467
"42",1991,"srp",467
"43",1991,"tp",466
"44",1991,"tss",467
"45",1992,"no3",498
"46",1992,"srp",498
"47",1992,"tp",496
"48",1992,"tss",497
"49",1993,"no3",503
"50",1993,"srp",503
"51",1993,"tp",503
"52",1993,"tss",503
"53",1994,"no3",479
"54",1994,"srp",479
"55",1994,"tp",478
"56",1994,"tss",479
"57",1995,"no3",508
"58",1995,"srp",508
"59",1995,"tp",506
"60",1995,"tss",506
"61",1996,"no3",434
"62",1996,"srp",434
"63",1996,"tp",437
"64",1996,"tss",425
"65",1997,"no3",479
"66",1997,"srp",479
"67",1997,"tp",479
"68",1997,"tss",478
"69",1998,"no3",524
"70",1998,"srp",524
"71",1998,"tp",524
"72",1998,"tss",524
"73",1999,"no3",421
"74",1999,"srp",420
"75",1999,"tp",420
"76",1999,"tss",420
"77",2000,"no3",493
"78",2000,"srp",507
"79",2000,"tp",508
"80",2000,"tss",506
"81",2001,"no3",458
"82",2001,"srp",458
"83",2001,"tp",458
"84",2001,"tss",456
"85",2002,"no3",489
"86",2002,"srp",489
"87",2002,"tp",489
"88",2002,"tss",485
"89",2003,"no3",506
"90",2003,"srp",506
"91",2003,"tp",503
"92",2003,"tss",492
"93",2004,"no3",549
"94",2004,"srp",550
"95",2004,"tp",549
"96",2004,"tss",550
"97",2005,"no3",449
"98",2005,"srp",463
"99",2005,"tp",463
"100",2005,"tss",462
"101",2006,"no3",542
"102",2006,"srp",546
"103",2006,"tp",545
"104",2006,"tss",529
"105",2007,"no3",602
"106",2007,"srp",603
"107",2007,"tp",603
"108",2007,"tss",602
"109",2008,"no3",581
"110",2008,"srp",581
"111",2008,"tp",581
"112",2008,"tss",579
"113",2009,"no3",491
"114",2009,"srp",491
"115",2009,"tp",490
"116",2009,"tss",487
"117",2010,"no3",388
"118",2010,"srp",388
"119",2010,"tp",378
"120",2010,"tss",386
"121",2011,"no3",555
"122",2011,"srp",555
"123",2011,"tp",556
"124",2011,"tss",554
"125",2012,"no3",554
"126",2012,"srp",555
"127",2012,"tp",555
"128",2012,"tss",554
"129",2013,"no3",596
"130",2013,"srp",596
"131",2013,"tp",596
"132",2013,"tss",596
"133",2014,"no3",499
"134",2014,"srp",490
"135",2014,"tp",499
"136",2014,"tss",490
"137",2015,"no3",509
"138",2015,"srp",510
"139",2015,"tp",510
"140",2015,"tss",510
"141",2016,"no3",538
"142",2016,"srp",538
"143",2016,"tp",538
"144",2016,"tss",538
"145",2017,"no3",558
"146",2017,"srp",559
"147",2017,"tp",559
"148",2017,"tss",550
"149",2018,"no3",572
"150",2018,"srp",573
"151",2018,"tp",572
"152",2018,"tss",573
"153",2019,"no3",576
"154",2019,"srp",577
"155",2019,"tp",577
"156",2019,"tss",577
"157",2020,"no3",388
"158",2020,"srp",384
"159",2020,"tp",390
"160",2020,"tss",390
"161",2021,"no3",492
"162",2021,"srp",492
"163",2021,"tp",492
"164",2021,"tss",492
